id,name,length_in,width_64,length_cm,width_mm
1,Cigarillo,3.5,21,8,8
2,Rothschild,4.5,48,11,19
3,Robolo,4.5,60,11,24
4,Robusto,4.875,50,12,20
5,Small Panatela,5.0,33,13,13
6,Ascot,4.5,24,11,13
7,Petit Corona,5.125,42,13,17
8,Carlota,5.125,35,14,14
9,Corona,5.5,42,14,17
10,Corona Gorda,5.625,46,14,18
11,Panatela,6.0,38,15,15
12,Toro,6.0,50,15,20
13,Corona Grande,6.125,42,16,17
14,Lonsdale,6.5,42,17,17
15,Churchill,7.0,47,18,19
16,Double Corona,7.625,49,19,19
17,Presidente,8.0,50,20,20
18,Gran Corona,9.25,47,23,19
19,Double Toro/Gordo,6.0,60,15,24
